Name,Description,Organism
UW156303_NC_082765_Sebastes.miniatus.fa,"Note, this is actually S. crocotulus based on Anita's genotyping-Thus the bad alignment",Sebastes crocotulus
DQ678530,"Sebastes dallii voucher SWFSC114-21 D-loop, partial sequence; mitochondrial",Sebastes dallii
UW114033,UW114033_OP035142_Sebastes.dallii.fa,Sebastes dallii
UW202934,UW202934_OP035142_Sebastes.dallii.fa,Sebastes dallii
ABLG9891,"Sebastes diaconus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG9891",Sebastes diaconus
ABLG9895,"Sebastes diaconus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG9895",Sebastes diaconus
ABLG10622,"Sebastes diaconus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG10622",Sebastes diaconus
ABLG10628,"Sebastes diaconus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG10628",Sebastes diaconus
ABLG10631,"Sebastes diaconus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG10631",Sebastes diaconus
DQ678541,"Sebastes diploproa voucher SWFSC143-51 D-loop, partial sequence; mitochondrial",Sebastes diploproa
NC_082821,"Sebastes diploproa voucher UW:49662 mitochondrion, complete genome",Sebastes diploproa
OR482579,"Sebastes diploproa voucher UW:49662 mitochondrion, complete genome",Sebastes diploproa
OR641513,"Sebastes diploproa mitochondrion, complete genome",Sebastes diploproa
OR641514,"Sebastes diploproa mitochondrion, complete genome",Sebastes diploproa
UW048791,UW048791_NC_082821_Sebastes.diploproa.fa,Sebastes diploproa
UW117004,UW117004_NC_082821_Sebastes.diploproa.fa,Sebastes diploproa
UW118643,UW118643_NC_082821_Sebastes.diploproa.fa,Sebastes diploproa
UW151745,UW151745_NC_082821_SEBASTES.diploproa.fa,Sebastes diploproa
DQ678537,"Sebastes elongatus voucher SWFSC89-67 D-loop, partial sequence; mitochondrial",Sebastes elongatus
NC_082818,"Sebastes elongatus voucher UW:48830 mitochondrion, complete genome",Sebastes elongatus
OR482576,"Sebastes elongatus voucher UW:48830 mitochondrion, complete genome",Sebastes elongatus
OR641515,"Sebastes elongatus mitochondrion, complete genome",Sebastes elongatus
OR641516,"Sebastes elongatus mitochondrion, complete genome",Sebastes elongatus
UW048825,UW048825_NC_082818_Sebastes.elongatus.fa,Sebastes elongatus
UW048826,UW048826_NC_082818_Sebastes.elongatus.fa,Sebastes elongatus
UW048827,UW048827_NC_082818_Sebastes.elongatus.fa,Sebastes elongatus
UW049709,UW049709_NC_082818_Sebastes.elongatus.fa,Sebastes elongatus
UW150216,UW150216_NC_082818_Sebastes.elongatus.fa,Sebastes elongatus
UW201655,UW201655_NC_082818_SEBASTES.ELONGATUS.fa,Sebastes elongatus
UW202945,UW202945_NC_082818_SEBASTES.ELONGATUS.fa,Sebastes elongatus
DQ678542,"Sebastes emphaeus voucher SWFSC7-84 D-loop, partial sequence; mitochondrial",Sebastes emphaeus
NC_082816,"Sebastes emphaeus voucher UW:48817 mitochondrion, complete genome",Sebastes emphaeus
OR482574,"Sebastes emphaeus voucher UW:48817 mitochondrion, complete genome",Sebastes emphaeus
UW048814,UW048814_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
UW048815,UW048815_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
UW118559,UW118559_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
UW118560,UW118560_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
UW151098,UW151098_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
UW151106,UW151106_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
DQ678543,"Sebastes ensifer voucher UW2003-016 D-loop, partial sequence; mitochondrial",Sebastes ensifer
UW152314,UW152314_NC_082792_Sebastes.ensifer.fa,Sebastes ensifer
UW152325,UW152325_NC_082792_Sebastes.ensifer.fa,Sebastes ensifer
DQ678544,"Sebastes entomelas voucher SWFSC3-50 D-loop, partial sequence; mitochondrial",Sebastes entomelas
NC_082761,"Sebastes entomelas voucher UW:114039 mitochondrion, complete genome",Sebastes entomelas
OR482515,"Sebastes entomelas voucher UW:114039 mitochondrion, complete genome",Sebastes entomelas
OR641517,"Sebastes entomelas mitochondrion, complete genome",Sebastes entomelas
OR641518,"Sebastes entomelas mitochondrion, complete genome",Sebastes entomelas
OR641519,"Sebastes entomelas mitochondrion, complete genome",Sebastes entomelas
OR641520,"Sebastes entomelas mitochondrion, complete genome",Sebastes entomelas
UW113145,UW113145_NC_082761_Sebastes.entomelas.fa,Sebastes entomelas
UW113148,UW113148_NC_082761_Sebastes.entomelas.fa,Sebastes entomelas
UW114039,UW114039_NC_082761_Sebastes.entomelas.fa,Sebastes entomelas
UW119936,UW119936_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW150609,UW150609_NC_082761_Sebastes.entomelas.fa,Sebastes entomelas
UW153483,UW153483_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW153484,UW153484_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW155299,UW155299_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW158659,UW158659_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW158660,UW158660_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW158661,UW158661_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW158662,UW158662_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW158663,UW158663_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
DQ678545,"Sebastes eos voucher SWFSC176-11 D-loop, partial sequence; mitochondrial",Sebastes eos
DQ678546,"Sebastes exsul voucher SWFSC144-75 D-loop, partial sequence; mitochondrial",Sebastes exsul
DQ678547,"Sebastes fasciatus voucher SWFSC14-29 D-loop, partial sequence; mitochondrial",Sebastes fasciatus
DQ678589,"Sebastes flammeus voucher FAKU81606 D-loop, partial sequence; mitochondrial",Sebastes flammeus
DQ678548,"Sebastes flavidus voucher SWFSC20-72 D-loop, partial sequence; mitochondrial",Sebastes flavidus
NC_082767,"Sebastes flavidus voucher UW:114069 mitochondrion, complete genome",Sebastes flavidus
OR482521,"Sebastes flavidus voucher UW:114069 mitochondrion, complete genome",Sebastes flavidus
OR641521,"Sebastes flavidus mitochondrion, complete genome",Sebastes flavidus
OR641522,"Sebastes flavidus mitochondrion, complete genome",Sebastes flavidus
OR641523,"Sebastes flavidus mitochondrion, complete genome",Sebastes flavidus
OR641524,"Sebastes flavidus mitochondrion, complete genome",Sebastes flavidus
OR641525,"Sebastes flavidus mitochondrion, complete genome",Sebastes flavidus
UW110468,UW110468_NC_082767_Sebastes.flavidus.fa,Sebastes flavidus
UW110487,UW110487_NC_082767_Sebastes.flavidus.fa,Sebastes flavidus
UW113235,UW113235_NC_082767_Sebastes.flavidus.fa,Sebastes flavidus
UW118754,UW118754_NC_082767_Sebastes.flavidus.fa,Sebastes flavidus
UW150239,UW150239_NC_082767_Sebastes.flavidus.fa,Sebastes flavidus
UW158453,UW158453_NC_082767_SEBASTES.FLAVIDUS.fa,Sebastes flavidus
UW158656,UW158656_NC_082767_SEBASTES.FLAVIDUS.fa,Sebastes flavidus
UW158658,UW158658_NC_082767_SEBASTES.FLAVIDUS.fa,Sebastes flavidus
UW201258,UW201258_NC_082767_SEBASTES.FLAVIDUS.fa,Sebastes flavidus
DQ678549,"Sebastes gilli voucher SWFSC129-60 D-loop, partial sequence; mitochondrial",Sebastes gilli
UW202915,UW202915_CM026822_Sebastes.gilli_mapped-Assembled,Sebastes gilli
DQ678591,"Sebastes glaucus voucher FAKU82532 D-loop, partial sequence; mitochondrial",Sebastes glaucus
DQ678564,"Sebastes goodei voucher SWFSC155-75 D-loop, partial sequence; mitochondrial",Sebastes goodei
NC_082764,"Sebastes goodei voucher UW:114058 mitochondrion, complete genome",Sebastes goodei
OR482518,"Sebastes goodei voucher UW:114058 mitochondrion, complete genome",Sebastes goodei
OR641526,"Sebastes goodei mitochondrion, complete genome",Sebastes goodei
OR641527,"Sebastes goodei mitochondrion, complete genome",Sebastes goodei
UW113144,UW113144_NC_082764_Sebastes.goodei.fa,Sebastes goodei
UW152317,UW152317_NC_082764_SEBASTES.GOODEI.fa,Sebastes goodei
UW152318,UW152318_NC_082764_SEBASTES.GOODEI.fa,Sebastes goodei
UW153311,UW153311_NC_082764_SEBASTES.GOODEI.fa,Sebastes goodei
UW201654,UW201654_NC_082764_SEBASTES.GOODEI.fa,Sebastes goodei
UW202203,UW202203_NC_082764_SEBASTES.GOODEI.fa,Sebastes goodei
DQ678599,"Sebastes helvomaculatus voucher SWFSC128-68 D-loop, partial sequence; mitochondrial",Sebastes helvomaculatus
NC_082775,"Sebastes helvomaculatus voucher UW:119875 mitochondrion, complete genome",Sebastes helvomaculatus
OP035093,"Sebastes helvomaculatus voucher UW:119875 mitochondrion, complete genome",Sebastes helvomaculatus
OR482529,"Sebastes helvomaculatus voucher UW:119875 mitochondrion, complete genome",Sebastes helvomaculatus
OR641528,"Sebastes helvomaculatus mitochondrion, complete genome",Sebastes helvomaculatus
OR641529,"Sebastes helvomaculatus mitochondrion, complete genome",Sebastes helvomaculatus
UW114035,UW114035_NC_082775_Sebastes.helvomaculatus.fa,Sebastes helvomaculatus
UW119874,UW119874_NC_082775_Sebastes.helvomaculatus.fa,Sebastes helvomaculatus
UW119876,UW119876_NC_082775_SEBASTES.HELVOMACULATUS.fa,Sebastes helvomaculatus
UW151755,UW151755_NC_082775_SEBASTES.helvomaculatus.fa,Sebastes helvomaculatus
UW157086,UW157086_NC_082775_Sebastes.helvomaculatus.fa,Sebastes helvomaculatus
DQ678550,"Sebastes hopkinsi voucher SWFSC156-91 D-loop, partial sequence; mitochondrial",Sebastes hopkinsi
UW114026,UW114026_OP035099_Sebastes.hopkinsi.fa,Sebastes hopkinsi
UW155386,UW155386_OP035099_Sebastes.hopkinsi.fa,Sebastes hopkinsi
DQ678604,"Sebastes hubbsi voucher FAKU130191 D-loop, partial sequence; mitochondrial",Sebastes hubbsi
DQ678586,"Sebastes inermis voucher FAKU86581 D-loop, partial sequence; mitochondrial",Sebastes inermis
DQ678598,"Sebastes iracundus voucher FAKU81604 D-loop, partial sequence; mitochondrial",Sebastes iracundus
DQ678551,"Sebastes jordani voucher SWFSC110-84 D-loop, partial sequence; mitochondrial",Sebastes jordani
NC_085188,"Sebastes jordani mitochondrion, complete genome",Sebastes jordani
OR641530,"Sebastes jordani mitochondrion, complete genome",Sebastes jordani
OR641531,"Sebastes jordani mitochondrion, complete genome",Sebastes jordani
UW114036,UW114036_NC_085188_Sebastes.jordani.fa,Sebastes jordani
UW154670,UW154670_NC_085188_SEBASTES.JORDANI.fa,Sebastes jordani
UW158454,UW158454_NC_085188_SEBASTES.JORDANI.fa,Sebastes jordani
UW158455,UW158455_NC_085188_SEBASTES.JORDANI.fa,Sebastes jordani
UW158456,UW158456_NC_085188_SEBASTES.JORDANI.fa,Sebastes jordani
UW158457,UW158457_NC_085188_SEBASTES.JORDANI.fa,Sebastes jordani
DQ678592,"Sebastes joyneri voucher FAKU130109 D-loop, partial sequence; mitochondrial",Sebastes joyneri
DQ678590,"Sebastes kiyomatsui voucher FAKU81567 D-loop, partial sequence; mitochondrial",Sebastes kiyomatsui
DQ678552,"Sebastes lentiginosus voucher SWFSC8-89 D-loop, partial sequence; mitochondrial",Sebastes lentiginosus
DQ678553,"Sebastes levis voucher SWFSC164-66 D-loop, partial sequence; mitochondrial",Sebastes levis
DQ678554,"Sebastes macdonaldi voucher SWFSC36-91 D-loop, partial sequence; mitochondrial",Sebastes macdonaldi
UW114065,UW114065_OP035284_Sebastes.macdonaldi.fa,Sebastes macdonaldi
UW202824,UW202824_OP035284_SEBASTES.MACDONALDI.fa,Sebastes macdonaldi
UW202914,UW202914_OP035284_SEBASTES.MACDONALDI.fa,Sebastes macdonaldi
UW202916,UW202916_OP035284_SEBASTES.MACDONALDI.fa,Sebastes macdonaldi
UW202928,UW202928_OP035284_SEBASTES.MACDONALDI.fa,Sebastes macdonaldi
DQ678531,"Sebastes maliger voucher SWFSC26-74 D-loop, partial sequence; mitochondrial",Sebastes maliger
MW846222,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
NC_056782,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
OP035060,"Sebastes maliger voucher UW:114064 mitochondrion, complete genome",Sebastes maliger
OR641532,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
OR641533,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
OR641534,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
OR641535,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
OR641536,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
UW114064,UW114064_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118543,UW118543_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118544,UW118544_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118644,UW118644_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118645,UW118645_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118670,UW118670_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118680,UW118680_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW119947,UW119947_OP035060_SEBASTES.MALIGER.fa,Sebastes maliger
UW151123,UW151123_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW151124,UW151124_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW151125,UW151125_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW151126,UW151126_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW151127,UW151127_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW159900,UW159900_OP035060_SEBASTES.MALIGER.fa,Sebastes maliger
UW159910,UW159910_OP035060_SEBASTES.MALIGER.fa,Sebastes maliger
UW159913,UW159913_OP035060_SEBASTES.MALIGER.fa,Sebastes maliger
DQ678601,"Sebastes matsubarae voucher FAKU81639 D-loop, partial sequence; mitochondrial",Sebastes matsubarae
DQ678556,"Sebastes melanops voucher SWFSC37-50 D-loop, partial sequence; mitochondrial",Sebastes melanops
NC_060710,"Sebastes melanops isolate 1003048 mitochondrion, complete genome",Sebastes melanops
OK048741,"Sebastes melanops isolate 1003048 mitochondrion, complete genome",Sebastes melanops
OR482534,"Sebastes melanops voucher UW:150232 mitochondrion, complete genome",Sebastes melanops
UW049037,UW049037_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112153,UW112153_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112154,UW112154_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112792,UW112792_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112794,UW112794_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112795,UW112795_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112798,UW112798_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112799,UW112799_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112800,UW112800_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112801,UW112801_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW112802,UW112802_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW113237,UW113237_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW113238,UW113238_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW113239,UW113239_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW114061,UW114061_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW150217,UW150217_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW150226,UW150226_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW150232,UW150232_OR482534_Sebastes.melanops.fa,Sebastes melanops
UW151121,UW151121_OR482534_Sebastes.melanops.fa,Sebastes melanops
DQ678617,"Sebastes melanosema voucher UW112698 D-loop, partial sequence; mitochondrial",Sebastes melanosema
DQ678517,"Sebastes melanostictus voucher SWFSC7-92 D-loop, partial sequence; mitochondrial",Sebastes melanostictus
MH378780,"Sebastes melanostictus isolate C0HG3AC mitochondrion, complete genome",Sebastes melanostictus
UW201553,UW201553_NC_056778_SEBASTES.MELANOSTICTUS.fa,Sebastes melanostictus
UW201554,UW201554_NC_056778_SEBASTES.MELANOSTICTUS.fa,Sebastes melanostictus
