Name,Description,Organism
NC_082778 PCR Product,"Sebastes crameri voucher UW:119999 mitochondrion, complete genome",Sebastes crameri
OP035263 PCR Product,"Sebastes crameri voucher UW:114055 mitochondrion, complete genome",Sebastes crameri
OR482532 PCR Product,"Sebastes crameri voucher UW:119999 mitochondrion, complete genome",Sebastes crameri
OR641511 PCR Product,"Sebastes crameri mitochondrion, complete genome",Sebastes crameri
OR641512 PCR Product,"Sebastes crameri mitochondrion, complete genome",Sebastes crameri
UW114055 PCR Product,UW114055_NC_082778_Sebastes.crameri.fa,Sebastes crameri
UW117007 PCR Product,UW117007_NC_082778_Sebastes.crameri.fa,Sebastes crameri
UW151743 PCR Product,UW151743_NC_082778_SEBASTES.crameri.fa,Sebastes crameri
UW151744 PCR Product,UW151744_NC_082778_SEBASTES.crameri.fa,Sebastes crameri
UW153440 PCR Product,UW153440_NC_082778_SEBASTES.CRAMERI.fa,Sebastes crameri
UW153442 PCR Product,UW153442_NC_082778_SEBASTES.CRAMERI.fa,Sebastes crameri
UW156292 PCR Product,UW156292_NC_082778_Sebastes.crameri.fa,Sebastes crameri
UW156293 PCR Product,UW156293_NC_082778_Sebastes.crameri.fa,Sebastes crameri
UW156294 PCR Product,UW156294_NC_082778_Sebastes.crameri.fa,Sebastes crameri
ABLG11613,"Sebastes crocotulus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG11613",Sebastes crocotulus
ABLG11614,"Sebastes crocotulus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG11614",Sebastes crocotulus
UW156303_NC_082765_Sebastes.miniatus.fa PCR Product,"Note, this is actually S. crocotulus based on Anita's genotyping-Thus the bad alignment",Sebastes crocotulus
DQ678530,"Sebastes dallii voucher SWFSC114-21 D-loop, partial sequence; mitochondrial",Sebastes dallii
UW114033 PCR Product,UW114033_OP035142_Sebastes.dallii.fa,Sebastes dallii
UW202934 PCR Product,UW202934_OP035142_Sebastes.dallii.fa,Sebastes dallii
ABLG9891,"Sebastes diaconus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG9891",Sebastes diaconus
ABLG9895,"Sebastes diaconus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG9895",Sebastes diaconus
ABLG10622,"Sebastes diaconus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG10622",Sebastes diaconus
ABLG10628,"Sebastes diaconus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG10628",Sebastes diaconus
ABLG10631,"Sebastes diaconus mitochondrial DNA, D-loop, partial sequence, specimen_voucher: ABLG10631",Sebastes diaconus
DQ678541,"Sebastes diploproa voucher SWFSC143-51 D-loop, partial sequence; mitochondrial",Sebastes diploproa
NC_082821 PCR Product,"Sebastes diploproa voucher UW:49662 mitochondrion, complete genome",Sebastes diploproa
OR482579 PCR Product,"Sebastes diploproa voucher UW:49662 mitochondrion, complete genome",Sebastes diploproa
OR641513 PCR Product,"Sebastes diploproa mitochondrion, complete genome",Sebastes diploproa
OR641514 PCR Product,"Sebastes diploproa mitochondrion, complete genome",Sebastes diploproa
UW048791 PCR Product,UW048791_NC_082821_Sebastes.diploproa.fa,Sebastes diploproa
UW117004 PCR Product,UW117004_NC_082821_Sebastes.diploproa.fa,Sebastes diploproa
UW118643 PCR Product,UW118643_NC_082821_Sebastes.diploproa.fa,Sebastes diploproa
UW151745 PCR Product,UW151745_NC_082821_SEBASTES.diploproa.fa,Sebastes diploproa
DQ678537,"Sebastes elongatus voucher SWFSC89-67 D-loop, partial sequence; mitochondrial",Sebastes elongatus
NC_082818 PCR Product,"Sebastes elongatus voucher UW:48830 mitochondrion, complete genome",Sebastes elongatus
OR482576 PCR Product,"Sebastes elongatus voucher UW:48830 mitochondrion, complete genome",Sebastes elongatus
OR641515 PCR Product,"Sebastes elongatus mitochondrion, complete genome",Sebastes elongatus
OR641516 PCR Product,"Sebastes elongatus mitochondrion, complete genome",Sebastes elongatus
UW048825 PCR Product,UW048825_NC_082818_Sebastes.elongatus.fa,Sebastes elongatus
UW048826 PCR Product,UW048826_NC_082818_Sebastes.elongatus.fa,Sebastes elongatus
UW048827 PCR Product,UW048827_NC_082818_Sebastes.elongatus.fa,Sebastes elongatus
UW049709 PCR Product,UW049709_NC_082818_Sebastes.elongatus.fa,Sebastes elongatus
UW150216 PCR Product,UW150216_NC_082818_Sebastes.elongatus.fa,Sebastes elongatus
UW201655 PCR Product,UW201655_NC_082818_SEBASTES.ELONGATUS.fa,Sebastes elongatus
UW202945 PCR Product,UW202945_NC_082818_SEBASTES.ELONGATUS.fa,Sebastes elongatus
DQ678542,"Sebastes emphaeus voucher SWFSC7-84 D-loop, partial sequence; mitochondrial",Sebastes emphaeus
NC_082816 PCR Product,"Sebastes emphaeus voucher UW:48817 mitochondrion, complete genome",Sebastes emphaeus
OR482574 PCR Product,"Sebastes emphaeus voucher UW:48817 mitochondrion, complete genome",Sebastes emphaeus
UW048814 PCR Product,UW048814_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
UW048815 PCR Product,UW048815_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
UW118559 PCR Product,UW118559_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
UW118560 PCR Product,UW118560_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
UW151098 PCR Product,UW151098_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
UW151106 PCR Product,UW151106_NC_082816_Sebastes.emphaeus.fa,Sebastes emphaeus
DQ678543,"Sebastes ensifer voucher UW2003-016 D-loop, partial sequence; mitochondrial",Sebastes ensifer
UW152314 PCR Product,UW152314_NC_082792_Sebastes.ensifer.fa,Sebastes ensifer
UW152325 PCR Product,UW152325_NC_082792_Sebastes.ensifer.fa,Sebastes ensifer
DQ678544,"Sebastes entomelas voucher SWFSC3-50 D-loop, partial sequence; mitochondrial",Sebastes entomelas
NC_082761 PCR Product,"Sebastes entomelas voucher UW:114039 mitochondrion, complete genome",Sebastes entomelas
OR482515 PCR Product,"Sebastes entomelas voucher UW:114039 mitochondrion, complete genome",Sebastes entomelas
OR641517 PCR Product,"Sebastes entomelas mitochondrion, complete genome",Sebastes entomelas
OR641518 PCR Product,"Sebastes entomelas mitochondrion, complete genome",Sebastes entomelas
OR641519 PCR Product,"Sebastes entomelas mitochondrion, complete genome",Sebastes entomelas
OR641520 PCR Product,"Sebastes entomelas mitochondrion, complete genome",Sebastes entomelas
UW113145 PCR Product,UW113145_NC_082761_Sebastes.entomelas.fa,Sebastes entomelas
UW113148 PCR Product,UW113148_NC_082761_Sebastes.entomelas.fa,Sebastes entomelas
UW114039 PCR Product,UW114039_NC_082761_Sebastes.entomelas.fa,Sebastes entomelas
UW119936 PCR Product,UW119936_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW150609 PCR Product,UW150609_NC_082761_Sebastes.entomelas.fa,Sebastes entomelas
UW153483 PCR Product,UW153483_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW153484 PCR Product,UW153484_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW155299 PCR Product,UW155299_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW158659 PCR Product,UW158659_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW158660 PCR Product,UW158660_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW158661 PCR Product,UW158661_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW158662 PCR Product,UW158662_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
UW158663 PCR Product,UW158663_NC_082761_SEBASTES.ENTOMELAS.fa,Sebastes entomelas
DQ678545,"Sebastes eos voucher SWFSC176-11 D-loop, partial sequence; mitochondrial",Sebastes eos
DQ678546,"Sebastes exsul voucher SWFSC144-75 D-loop, partial sequence; mitochondrial",Sebastes exsul
DQ678547,"Sebastes fasciatus voucher SWFSC14-29 D-loop, partial sequence; mitochondrial",Sebastes fasciatus
DQ678589,"Sebastes flammeus voucher FAKU81606 D-loop, partial sequence; mitochondrial",Sebastes flammeus
DQ678548,"Sebastes flavidus voucher SWFSC20-72 D-loop, partial sequence; mitochondrial",Sebastes flavidus
NC_082767 PCR Product,"Sebastes flavidus voucher UW:114069 mitochondrion, complete genome",Sebastes flavidus
OR482521 PCR Product,"Sebastes flavidus voucher UW:114069 mitochondrion, complete genome",Sebastes flavidus
OR641521 PCR Product,"Sebastes flavidus mitochondrion, complete genome",Sebastes flavidus
OR641522 PCR Product,"Sebastes flavidus mitochondrion, complete genome",Sebastes flavidus
OR641523 PCR Product,"Sebastes flavidus mitochondrion, complete genome",Sebastes flavidus
OR641524 PCR Product,"Sebastes flavidus mitochondrion, complete genome",Sebastes flavidus
OR641525 PCR Product,"Sebastes flavidus mitochondrion, complete genome",Sebastes flavidus
UW110468 PCR Product,UW110468_NC_082767_Sebastes.flavidus.fa,Sebastes flavidus
UW110487 PCR Product,UW110487_NC_082767_Sebastes.flavidus.fa,Sebastes flavidus
UW113235 PCR Product,UW113235_NC_082767_Sebastes.flavidus.fa,Sebastes flavidus
UW118754 PCR Product,UW118754_NC_082767_Sebastes.flavidus.fa,Sebastes flavidus
UW150239 PCR Product,UW150239_NC_082767_Sebastes.flavidus.fa,Sebastes flavidus
UW158453 PCR Product,UW158453_NC_082767_SEBASTES.FLAVIDUS.fa,Sebastes flavidus
UW158656 PCR Product,UW158656_NC_082767_SEBASTES.FLAVIDUS.fa,Sebastes flavidus
UW158658 PCR Product,UW158658_NC_082767_SEBASTES.FLAVIDUS.fa,Sebastes flavidus
UW201258 PCR Product,UW201258_NC_082767_SEBASTES.FLAVIDUS.fa,Sebastes flavidus
DQ678549,"Sebastes gilli voucher SWFSC129-60 D-loop, partial sequence; mitochondrial",Sebastes gilli
UW202915 PCR Product (reversed),UW202915_CM026822_Sebastes.gilli_mapped-Assembled,Sebastes gilli
DQ678591,"Sebastes glaucus voucher FAKU82532 D-loop, partial sequence; mitochondrial",Sebastes glaucus
DQ678564,"Sebastes goodei voucher SWFSC155-75 D-loop, partial sequence; mitochondrial",Sebastes goodei
NC_082764 PCR Product,"Sebastes goodei voucher UW:114058 mitochondrion, complete genome",Sebastes goodei
OR482518 PCR Product,"Sebastes goodei voucher UW:114058 mitochondrion, complete genome",Sebastes goodei
OR641526 PCR Product,"Sebastes goodei mitochondrion, complete genome",Sebastes goodei
OR641527 PCR Product,"Sebastes goodei mitochondrion, complete genome",Sebastes goodei
UW113144 PCR Product,UW113144_NC_082764_Sebastes.goodei.fa,Sebastes goodei
UW152317 PCR Product,UW152317_NC_082764_SEBASTES.GOODEI.fa,Sebastes goodei
UW152318 PCR Product,UW152318_NC_082764_SEBASTES.GOODEI.fa,Sebastes goodei
UW153311 PCR Product,UW153311_NC_082764_SEBASTES.GOODEI.fa,Sebastes goodei
UW201654 PCR Product,UW201654_NC_082764_SEBASTES.GOODEI.fa,Sebastes goodei
UW202203 PCR Product,UW202203_NC_082764_SEBASTES.GOODEI.fa,Sebastes goodei
DQ678599,"Sebastes helvomaculatus voucher SWFSC128-68 D-loop, partial sequence; mitochondrial",Sebastes helvomaculatus
NC_082775 PCR Product,"Sebastes helvomaculatus voucher UW:119875 mitochondrion, complete genome",Sebastes helvomaculatus
OP035093 PCR Product,"Sebastes helvomaculatus voucher UW:119875 mitochondrion, complete genome",Sebastes helvomaculatus
OR482529 PCR Product,"Sebastes helvomaculatus voucher UW:119875 mitochondrion, complete genome",Sebastes helvomaculatus
OR641528 PCR Product,"Sebastes helvomaculatus mitochondrion, complete genome",Sebastes helvomaculatus
OR641529 PCR Product,"Sebastes helvomaculatus mitochondrion, complete genome",Sebastes helvomaculatus
UW114035 PCR Product,UW114035_NC_082775_Sebastes.helvomaculatus.fa,Sebastes helvomaculatus
UW119874 PCR Product,UW119874_NC_082775_Sebastes.helvomaculatus.fa,Sebastes helvomaculatus
UW119876 PCR Product,UW119876_NC_082775_SEBASTES.HELVOMACULATUS.fa,Sebastes helvomaculatus
UW151755 PCR Product,UW151755_NC_082775_SEBASTES.helvomaculatus.fa,Sebastes helvomaculatus
UW157086 PCR Product,UW157086_NC_082775_Sebastes.helvomaculatus.fa,Sebastes helvomaculatus
DQ678550,"Sebastes hopkinsi voucher SWFSC156-91 D-loop, partial sequence; mitochondrial",Sebastes hopkinsi
UW114026 PCR Product,UW114026_OP035099_Sebastes.hopkinsi.fa,Sebastes hopkinsi
UW155386 PCR Product,UW155386_OP035099_Sebastes.hopkinsi.fa,Sebastes hopkinsi
DQ678604,"Sebastes hubbsi voucher FAKU130191 D-loop, partial sequence; mitochondrial",Sebastes hubbsi
DQ678586,"Sebastes inermis voucher FAKU86581 D-loop, partial sequence; mitochondrial",Sebastes inermis
DQ678598,"Sebastes iracundus voucher FAKU81604 D-loop, partial sequence; mitochondrial",Sebastes iracundus
DQ678551,"Sebastes jordani voucher SWFSC110-84 D-loop, partial sequence; mitochondrial",Sebastes jordani
NC_085188 PCR Product,"Sebastes jordani mitochondrion, complete genome",Sebastes jordani
OR641530 PCR Product,"Sebastes jordani mitochondrion, complete genome",Sebastes jordani
OR641531 PCR Product,"Sebastes jordani mitochondrion, complete genome",Sebastes jordani
UW114036 PCR Product,UW114036_NC_085188_Sebastes.jordani.fa,Sebastes jordani
UW154670 PCR Product,UW154670_NC_085188_SEBASTES.JORDANI.fa,Sebastes jordani
UW158454 PCR Product,UW158454_NC_085188_SEBASTES.JORDANI.fa,Sebastes jordani
UW158455 PCR Product,UW158455_NC_085188_SEBASTES.JORDANI.fa,Sebastes jordani
UW158456 PCR Product,UW158456_NC_085188_SEBASTES.JORDANI.fa,Sebastes jordani
UW158457 PCR Product,UW158457_NC_085188_SEBASTES.JORDANI.fa,Sebastes jordani
DQ678592,"Sebastes joyneri voucher FAKU130109 D-loop, partial sequence; mitochondrial",Sebastes joyneri
DQ678590,"Sebastes kiyomatsui voucher FAKU81567 D-loop, partial sequence; mitochondrial",Sebastes kiyomatsui
DQ678552,"Sebastes lentiginosus voucher SWFSC8-89 D-loop, partial sequence; mitochondrial",Sebastes lentiginosus
DQ678553,"Sebastes levis voucher SWFSC164-66 D-loop, partial sequence; mitochondrial",Sebastes levis
DQ678554,"Sebastes macdonaldi voucher SWFSC36-91 D-loop, partial sequence; mitochondrial",Sebastes macdonaldi
UW114065 PCR Product,UW114065_OP035284_Sebastes.macdonaldi.fa,Sebastes macdonaldi
UW202824 PCR Product,UW202824_OP035284_SEBASTES.MACDONALDI.fa,Sebastes macdonaldi
UW202914 PCR Product,UW202914_OP035284_SEBASTES.MACDONALDI.fa,Sebastes macdonaldi
UW202916 PCR Product,UW202916_OP035284_SEBASTES.MACDONALDI.fa,Sebastes macdonaldi
UW202928 PCR Product,UW202928_OP035284_SEBASTES.MACDONALDI.fa,Sebastes macdonaldi
DQ678531,"Sebastes maliger voucher SWFSC26-74 D-loop, partial sequence; mitochondrial",Sebastes maliger
MW846222 PCR Product,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
NC_056782 PCR Product,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
OP035060 PCR Product,"Sebastes maliger voucher UW:114064 mitochondrion, complete genome",Sebastes maliger
OR641532 PCR Product,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
OR641533 PCR Product,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
OR641534 PCR Product,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
OR641535 PCR Product,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
OR641536 PCR Product,"Sebastes maliger mitochondrion, complete genome",Sebastes maliger
UW114064 PCR Product,UW114064_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118543 PCR Product,UW118543_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118544 PCR Product,UW118544_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118644 PCR Product,UW118644_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118645 PCR Product,UW118645_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118670 PCR Product,UW118670_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW118680 PCR Product,UW118680_OP035060_Sebastes.maliger.fa,Sebastes maliger
UW119947 PCR Product,UW119947_OP035060_SEBASTES.MALIGER.fa,Sebastes maliger
UW151123 PCR Product,UW151123_OP035060_Sebastes.maliger.fa,Sebastes maliger
